customer_id,category,created_at,status
1306,Call Quality,2025-06-24 11:41,Closed
1306,Service,2025-06-12 11:41,Open
1204,Network,2025-05-17 11:41,Closed
1370,Billing,2025-07-16 11:41,Closed
1370,Service,2025-10-28 11:41,Open
1909,Recharge,2025-08-27 11:41,Open
1909,Network,2025-07-27 11:41,Closed
1909,Data,2025-06-25 11:41,Closed
1054,Data,2025-09-04 11:41,Closed
1054,Call Quality,2025-10-28 11:41,Open
1054,Data,2025-08-08 11:41,Open
1054,Network,2025-07-08 11:41,Open
1054,Network,2025-07-15 11:41,Closed
1885,Call Quality,2025-08-31 11:41,Open
1683,Call Quality,2025-08-11 11:41,Closed
1224,Billing,2025-05-31 11:41,Open
1224,Recharge,2025-10-17 11:41,Closed
1224,Data,2025-08-09 11:41,Open
1116,Service,2025-09-05 11:41,Open
1116,Network,2025-06-20 11:41,Closed
1116,Call Quality,2025-09-24 11:41,Open
1242,Data,2025-07-06 11:41,Closed
1649,Recharge,2025-09-06 11:41,Closed
1649,Support,2025-05-08 11:41,Closed
1649,Support,2025-08-02 11:41,Closed
1445,Support,2025-09-09 11:41,Open
1445,Support,2025-10-11 11:41,Closed
1333,Support,2025-09-23 11:41,Closed
1016,Recharge,2025-07-30 11:41,Closed
1016,Call Quality,2025-05-26 11:41,Open
1172,Data,2025-10-24 11:41,Closed
1172,Network,2025-08-18 11:41,Closed
1172,Support,2025-08-21 11:41,Closed
1172,Data,2025-08-26 11:41,Closed
1172,Call Quality,2025-06-25 11:41,Closed
1814,Call Quality,2025-09-19 11:41,Closed
1814,Support,2025-06-08 11:41,Closed
1814,Service,2025-08-22 11:41,Closed
1814,Data,2025-10-18 11:41,Closed
1814,Billing,2025-07-24 11:41,Open
1283,Service,2025-07-24 11:41,Closed
1283,Service,2025-05-11 11:41,Open
1599,Support,2025-08-17 11:41,Closed
1599,Call Quality,2025-10-14 11:41,Closed
1599,Service,2025-06-11 11:41,Closed
1599,Network,2025-05-31 11:41,Open
1123,Data,2025-10-07 11:41,Closed
1406,Data,2025-09-26 11:41,Closed
1406,Network,2025-10-03 11:41,Closed
1406,Billing,2025-10-26 11:41,Closed
1406,Call Quality,2025-05-24 11:41,Open
1406,Data,2025-06-07 11:41,Closed
1809,Service,2025-06-20 11:41,Closed
1809,Recharge,2025-09-06 11:41,Closed
1809,Network,2025-06-14 11:41,Closed
1249,Service,2025-08-16 11:41,Open
1010,Network,2025-08-17 11:41,Closed
1010,Billing,2025-06-25 11:41,Closed
1010,Service,2025-08-24 11:41,Closed
1044,Network,2025-08-29 11:41,Closed
1044,Service,2025-08-15 11:41,Open
1044,Call Quality,2025-10-06 11:41,Closed
1596,Data,2025-08-12 11:41,Open
1596,Billing,2025-09-14 11:41,Closed
1596,Service,2025-08-28 11:41,Open
1803,Data,2025-09-13 11:41,Closed
1803,Data,2025-05-14 11:41,Open
1708,Billing,2025-10-12 11:41,Closed
1708,Recharge,2025-07-17 11:41,Closed
1708,Service,2025-07-20 11:41,Closed
1708,Network,2025-08-30 11:41,Closed
1708,Data,2025-07-18 11:41,Open
1487,Recharge,2025-06-09 11:41,Closed
1487,Call Quality,2025-05-27 11:41,Closed
1487,Network,2025-06-01 11:41,Closed
1487,Data,2025-10-29 11:41,Closed
